,Video Name,Thumbnail URL,Video ID,length,description snippet,date published
69,Why copper pans are great (and sometimes poisonous),https://i.ytimg.com/vi/vZfvsaKrGss/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDZWwvIXdDoDlaQw7UaOXVoPu_8ew,vZfvsaKrGss,13 minutes,"Thanks to Dropbox for sponsoring a portion of this video! Get Dropbox Backup to protect your videos, photos and crucial documents: https://www.dropbox.com/adamragusea

Thanks to Cardinal Spirits...",2022-11-27 13:32:39.233961
70,Ask Adam: Is eating cholesterol actually bad? Why are cold fries so gross? (PODCAST E13),https://i.ytimg.com/vi/AwQ7g19eyWw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC7HZlXjx4wNBbsQc6C08yq9mPf7Q,AwQ7g19eyWw,"56 minutes, 51 seconds","Thank you to Future for sponsoring this episode! Work with a fitness coach who will keep you accountable. Try your first month for $19: https://tryfuture.co/AdamRagusea

On this episode of...",2022-11-27 13:32:39.233961
71,Rice with Korean BBQ (and other stuff) — Bibimbap from Seoul Brothers,https://i.ytimg.com/vi/vjJO5dOv7Nw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDnEXOgYkj9nVPELhsnySFk01mKSQ,vjJO5dOv7Nw,"12 minutes, 42 seconds","Thanks to Brightland for sponsoring this video! Click this link https://brightland.co/ADAMRAGUSEA2  to find out more about Brightland’s high-quality products and get 10% off!

Thanks to Chef...",2022-11-27 13:32:39.233961
72,The enchanting smell (and revolting flavor) of rain,https://i.ytimg.com/vi/_8vHsY_QVHM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCpkfpBSL01RAH13P0F-phYbPbX-g,_8vHsY_QVHM,"8 minutes, 49 seconds","Thanks to HelloFresh for sponsoring this video! Use code ADAMRAGUSEA16 for up to 16 FREE MEALS + 3 Surprise Gifts across 6 HelloFresh boxes plus free shipping: https://bit.ly/3H8Rbgh

Harry...",2022-11-27 13:32:39.233961
73,Ask Adam: Brits dumping metric? Why is white bread white? Best cookware for the car? (PODCAST E12),https://i.ytimg.com/vi/Tqg2UBbIG8I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBBnpQikhdPz-vsscSvPml57Z6dkw,Tqg2UBbIG8I,"50 minutes, 32 seconds",Thanks to Surfshark for sponsoring this episode! Get Surfshark VPN at https://Surfshark.deals/adamragusea — Enter promo code ADAMRAGUSEA for 83% off + 3 extra months & Antivirus for free!...,2022-11-27 13:32:39.233961
74,Rösti — Swiss potato cake (eight techniques tested),https://i.ytimg.com/vi/lt7u470DOiY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDdqHSuib93rlCdt0pcX-4Di53Hdw,lt7u470DOiY,"12 minutes, 8 seconds","Thanks to ShipStation for sponsoring this video! Get a 60-day free trial: https://www.shipstation.com/ragusea

***RECIPE***

potatoes (1/2 lb, 227g per person, I like Yukon Golds)
fat/oil (I...",2022-11-26 13:32:39.233961
75,"Is moldy food really that dangerous? (We're not sure, but don't risk it.)",https://i.ytimg.com/vi/NgduUAu8s3g/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDweuvlU6SdQuzeCYEctIZykx_k0w,NgduUAu8s3g,"13 minutes, 59 seconds",Thanks to Fetch Rewards for sponsoring today's video! Download the Fetch Rewards app now → https://fetch.thld.co/ragusea_0522 and use the code RAGUSEA to get 3000 points on your first receipt!...,2022-11-26 13:32:39.233961
76,Restaurant menus and the art of persuasion (PODCAST E11),https://i.ytimg.com/vi/Wr6Zsxm4ork/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD3JABhseGX58VXjP4HStoSA4J5PA,Wr6Zsxm4ork,"48 minutes, 39 seconds","""Mountain yam, caramelized white chocolate, popcorn, coconut."" That's an actual restaurant dessert documented by Dr. Alison Pearlman in her book, ""May We Suggest: Restaurant Menus and the Art...",2022-11-26 13:32:39.233961
77,"Basic thin burger patties, grill or pan",https://i.ytimg.com/vi/kWEKWJAgtC8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC_Jezf5uAeM7sX5TRf91AXOM5-rg,kWEKWJAgtC8,"10 minutes, 53 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-26 13:32:39.233961
78,"Tongues, brain sauce, and other delights from 19th- and early-20th century menus",https://i.ytimg.com/vi/U9psXeonflo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA6A9cIp91mgGeGXUkjoW6fEioeQQ,U9psXeonflo,"13 minutes, 28 seconds","Thanks to Trade Coffee for sponsoring this video! Click https://www.drinktrade.com/RAGUSEA to get $30 off your first three bags plus free shipping

This video features the book ""Menu Design...",2022-11-26 13:32:39.233961
79,"Ask Adam: Carbon steel seasoning, why Adam left TikTok, Papa John's fail  (PODCAST E10)",https://i.ytimg.com/vi/E7HzllG46WE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCLnDsb0N96KWDOiHdyG6uDB2jMsg,E7HzllG46WE,"51 minutes, 57 seconds","Thanks to Honey for sponsoring this episode! Get Honey FREE now and start saving when you shop online: https://www.joinhoney.com/raguseashow

On this episode of the podcast, Adam asks some...",2022-11-26 13:32:39.233961
80,Dutch baby — sweet and savory popover pancakes,https://i.ytimg.com/vi/xFIyWfrmF6E/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC-YFh1SpLsNkDL8X7l3dW8s360Og,xFIyWfrmF6E,"7 minutes, 13 seconds",Thanks to Misen for sponsoring this video! Upgrade your kitchen with Misen's amazing cookware and knives. Go to https://bit.ly/3M4ol3u and use promo code adamragusea to get 20% off your first...,2022-11-26 13:32:39.233961
81,Why (fancy) restaurant menus shrank,https://i.ytimg.com/vi/0qNWzpOc69U/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD8Pk7cnyVw6cpm3B6yKq-flJyy7A,0qNWzpOc69U,"12 minutes, 3 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-26 13:32:39.233961
82,Ask Adam: What's wrong with American bread? Help for picky eater? Russian food boycott? (PODCAST E9),https://i.ytimg.com/vi/5p7ofs3F82U/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC5RGtRRSBFdygjOt8YZmyetZFdKQ,5p7ofs3F82U,"54 minutes, 9 seconds","Thanks to Skillshare for sponsoring this episode! The first 1,000 people to use this link will get a 1 month free trial: https://skl.sh/adamragusea05221

Thanks to Helix Sleep for sponsoring...",2022-11-26 13:32:39.234961
83,Crispy French toast,https://i.ytimg.com/vi/OYF7-ep9lQ4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAcGtsmCeLD402SsRI9JtzIE0KmHw,OYF7-ep9lQ4,"9 minutes, 4 seconds","Thanks to Surfshark for sponsoring this video! Get Surfshark VPN at https://Surfshark.deals/adamragusea — Enter promo code ADAMRAGUSEA for 83% off and 3 extra months for free!

***RECIPE***...",2022-11-26 13:32:39.234961
84,Why modern sandwich bread is different from 'real' bread,https://i.ytimg.com/vi/i3sP2jwG9jc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAqG1wl9kplvQ01DywjXuQKpJ4SCA,i3sP2jwG9jc,"13 minutes, 29 seconds",Thanks for Helix Sleep for sponsoring this video! Click here https://helixsleep.com/ragusea for up to $200 off your Helix Sleep mattress plus two free pillows! Free shipping within the United...,2022-11-26 13:32:39.234961
85,"Why calorie counts are wrong, and what to do about it (PODCAST E8)",https://i.ytimg.com/vi/C-H4KwoKaOc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBaP4eLbSooQZmEZiqIZCjod7TJ9w,C-H4KwoKaOc,"48 minutes, 16 seconds","On the pod this week, a conversation with Dr. Giles Yeo, obesity researcher at Cambridge University and author of ""Why Calories Don't Count: How We Got the Science of Weight Loss Wrong"": https://ww...",2022-11-26 13:32:39.234961
86,Chicken that actually fits on a sandwich | Garlic and mustard aioli,https://i.ytimg.com/vi/OiO_Ame4YAI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBhxsvA6gaTp-sd26Vc5FmB_fu_fg,OiO_Ame4YAI,"11 minutes, 36 seconds",Thanks to HelloFresh for sponsoring this video! Use code ADAMRAGUSEA16 for up to 16 FREE MEALS + three surprise gifts across six HelloFresh boxes plus free shipping: https://bit.ly/3H8Rbgh...,2022-11-26 13:32:39.234961
87,"How garlic can emulsify sauces (aioli, alioli, allioli, aïoli, toum, etc)",https://i.ytimg.com/vi/fqHqEGGz1tE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDvnYQBxtO8h9vpsRRXeuCjnwgcFA,fqHqEGGz1tE,"13 minutes, 42 seconds","Thank you to Future for sponsoring this video! Work with a fitness coach who will keep you accountable. Try your first month for $19: https://tryfuture.co/Adam

""Emulsification properties of...",2022-11-25 13:32:39.234961
88,"Ask Adam: Cotton candy flavor, Trader Joe's, and why recipes call for HOT pans (PODCAST E7)",https://i.ytimg.com/vi/YdZYTyAjd9M/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC5hAmFuYv8TvUuOxujlnc9KT4RbA,YdZYTyAjd9M,"59 minutes, 53 seconds","Thanks to Trade Coffee for sponsoring this episode! Trade is offering new subscribers a total of $30 off your first order plus free shipping: https://drinktrade.com/adamshow

On this episode...",2022-11-25 13:32:39.234961
89,"Basic thick burgers, grill or pan",https://i.ytimg.com/vi/PXjhzjs2MKE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC_CSiAeeqybTpEQmXA_Yqz9IgIsg,PXjhzjs2MKE,"11 minutes, 50 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-25 13:32:39.234961
90,Why dried pasta is made with semolina (durum wheat) flour,https://i.ytimg.com/vi/6m2mh6rxRaA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAoZoWjN4Do-gtMwJS2IRBlaCrKrA,6m2mh6rxRaA,"11 minutes, 14 seconds","Thanks to ShipStation for sponsoring the show! Get a 60-day free trial: https://www.shipstation.com/ragusea

Thanks to Dr. Frank Manthey at North Dakota State University: https://www.ndsu.edu/agric...",2022-11-25 13:32:39.234961
91,Greg Doucette on cooking for lean muscle | Coke syrup and the composer (PODCAST E6),https://i.ytimg.com/vi/Uwe-Zm5opw4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCP1_tDFBtKnoY7kDlNRW3wYJWeHw,Uwe-Zm5opw4,"42 minutes, 28 seconds","Thanks to Helix Sleep for sponsoring this episode! Helix is offering up to $200 off all mattress orders AND two free pillows: https://helixsleep.com/ragusea

On this episode of the podcast,...",2022-11-25 13:32:39.234961
92,"Spaghetti all'assassina (fried pasta, kinda)",https://i.ytimg.com/vi/X8B5ZtKIlWY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAtWrCff8k9xUe1jnzlx58kMHNaxA,X8B5ZtKIlWY,"8 minutes, 56 seconds","Thanks to Fetch Rewards for sponsoring today's video! Download the Fetch Rewards app now: https://fetch.thld.co/ragusea_0422 and use code RAGUSEA to get 3,000 points on your first receipt!...",2022-11-25 13:32:39.234961
93,Why they don't put salt in pasta dough,https://i.ytimg.com/vi/CDNKaLGV8sU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBLk5lwuc-FB-SdG72yFZA8dJ7B_w,CDNKaLGV8sU,"13 minutes, 32 seconds","Thanks to Native for sponsoring this video! Save 33% on your first Native Plastic-Free Deodorant Pack — normally $39, you’ll get it for $26! Use my code RAGUSEA2: https://bit.ly/nativeragusea2...",2022-11-25 13:32:39.234961
94,What even are GMOs? What even is processed food? (PODCAST E5),https://i.ytimg.com/vi/Z6i6DufjlFI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDdx26uxncZ2CnLhFQnjSC8PjsUXQ,Z6i6DufjlFI,"41 minutes, 3 seconds","On this episode, we explain and debate GMOs and processed foods. I'll also touch upon prepping the perfect vegan meal for non-vegans, maintaining nutritional and daily workout goals and more...",2022-11-25 13:32:39.234961
95,"Homemade crusty loaf, with or without a dutch oven",https://i.ytimg.com/vi/OI2-6Ps2Hcc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBkIJDb5WggPsm2tRlSYbqtRj2bGg,OI2-6Ps2Hcc,"13 minutes, 49 seconds","Thanks to Magic Spoon for sponsoring this video! Use my code RAGUSEA to get $5 off your delicious, healthy Magic Spoon cereal by clicking this link: https://magicspoon.thld.co/ragusea_0422...",2022-11-25 13:32:39.234961
96,How they make alcohol 'harder',https://i.ytimg.com/vi/lcssRU5G9Gk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBLeI3H1O374Df5SPP8EOOrTz4UAw,lcssRU5G9Gk,"21 minutes, 1 second","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-25 13:32:39.234961
97,Brian Lagerstrom reveals pro bread secrets | On carbs and the feeling of hunger (PODCAST E4),https://i.ytimg.com/vi/mMORm67OeDA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAGzwx30JIoSM1BKTGmn_nJU0k19A,mMORm67OeDA,"48 minutes, 43 seconds","Thanks to Vessi for sponsoring this episode! Click https://vessi.com/ADAM and use my code ADAM for $25 off each pair of adult Vessi shoes! Free shipping to CA, US, AUS, NZ, JP, TW, KR, SGP...",2022-11-25 13:32:39.234961
98,Yellow cake with chocolate buttercream frosting,https://i.ytimg.com/vi/EZdsqDJH2As/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBmxctgjdftDkTbajKDJJQtVGhC2A,EZdsqDJH2As,"10 minutes, 52 seconds","Thanks to HelloFresh for sponsoring this video! Use code ADAMRAGUSEA16 for up to 16 FREE MEALS + 3 Surprise Gifts across 6 HelloFresh boxes plus free shipping: https://bit.ly/3H8Rbgh

***RECIPE***...",2022-11-25 13:32:39.234961
99,"Why sheep (lamb, mutton) tastes sheepy",https://i.ytimg.com/vi/77IoP9r4hOI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCO6WRvcskvf6uhc-P9rKgYrZP1ZQ,77IoP9r4hOI,"15 minutes, 51 seconds","Thank you to Future for sponsoring this video! Work with a fitness coach who will keep you accountable. Try your first month for $19: https://tryfuture.co/Adam

Harry Sherwood on Instagram:...",2022-11-25 13:32:39.234961
100,"'My Name is Andong' on food-tubing, borscht, and being Russian amid war (PODCAST E3)",https://i.ytimg.com/vi/zWO0TofGC8Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDvYQhlmT-Txym3FZGnHaOHtx6dmg,zWO0TofGC8Q,"39 minutes, 59 seconds","Thanks to Helix Sleep for sponsoring this episode! Helix is offering up to $200 off all mattress orders AND two free pillows: https://helixsleep.com/ragusea

Thanks to  @My Name Is Andong ...",2022-11-24 13:32:39.234961
101,Lamb shanks with roasted garlic sauce | celeriac purée | broccolini,https://i.ytimg.com/vi/TPWIdj4I3yA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA6v1_z0DpdhpR_GRnbfzg9wBOguw,TPWIdj4I3yA,"10 minutes, 31 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-24 13:32:39.234961
102,Basic 'knife skills' for normals (not chefs),https://i.ytimg.com/vi/wSqnJ6iMM8Y/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAPd8s1M0bPY5_qDy0DFE0RYJZnBg,wSqnJ6iMM8Y,"17 minutes, 28 seconds","The new Adam Ragusea chef's knife is for sale! https://www.adamragusea.com/store/ragusea-chef-knife

My old video about ""knife skills,"" specifically the claw grip and why I think it's unnecessary...",2022-11-24 13:32:39.234961
103,"Reviewing Stanley Tucci's ""Big Night"" (PODCAST E2)",https://i.ytimg.com/vi/EWWXs3H1iZA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAcbVCpMOQVAyvAAx_CJhDvfirDxw,EWWXs3H1iZA,"1 hour, 26 minutes, 5 seconds","Thanks to Munk Pack for sponsoring this episode! Go to https://thld.co/munkpack_ragusea_0322 and use code RAGUSEA to get 20% off your first purchase!

Thanks to Seed for sponsoring this episode!...",2022-11-24 13:32:39.234961
104,Cinnamon rolls with marshmallow glaze,https://i.ytimg.com/vi/m4YbL7dAfw8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAilNpmDnpgMt2qOuiW4h9trbnlFA,m4YbL7dAfw8,"10 minutes, 17 seconds",Thanks to Kove Audio for sponsoring this video! Get 67% off or more on the Kove Mini Commuter with my code AMINI67: http://koveaudio.com/amini67 | Best discount subject to change after March...,2022-11-24 13:32:39.234961
105,Where modern restaurants came from,https://i.ytimg.com/vi/8lYhUjV5-Rg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAACXUbNvVWUw5_MhWcc2Niwc6OEw,8lYhUjV5-Rg,"15 minutes, 19 seconds","Thanks to Trade Coffee for sponsoring this video! Click https://www.drinktrade.com/RAGUSEA to get $20 off your first three bags.

""The Invention of the Restaurant: Paris and Modern Gastronomic...",2022-11-24 13:32:39.235962
106,Why Adam is doomed to failure | Obi & Salma from Middle Eats (PODCAST E1),https://i.ytimg.com/vi/7SpqTsE_fOE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAkyOx4kv2rfZ1qze8c460bdIYVwg,7SpqTsE_fOE,"46 minutes, 46 seconds","Thanks to Geologie for sponsoring this episode! Go to https://thld.co/geologie_adam50_0322 to save up to 50% on your 30-day trial. 

Thanks to Immi for sponsoring this episode! Go to https://thld.c...",2022-11-24 13:32:39.235962
107,Pan-fried vegetable ravioli,https://i.ytimg.com/vi/blfy-bOODuM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBTfqLhBRm6hyE_WVZgk3bwr1r_RA,blfy-bOODuM,"8 minutes, 51 seconds","Go to https://thld.co/sheath_ragusea_0322 and use code RAGUSEA at checkout to get 20% off your order! Thanks to SHEATH for sponsoring today’s video.

My previous ravioli video that shows...",2022-11-24 13:32:39.235962
108,Why a tire company is the judge of fine dining,https://i.ytimg.com/vi/gsHnfeS1UgQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAFw_SRZGOdKEsDdKUfecLCKmG5GA,gsHnfeS1UgQ,"10 minutes, 15 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-24 13:32:39.235962
109,Sirloin steak with pickled mustard seeds and greens,https://i.ytimg.com/vi/aLMFGk7Ylw0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC4ptd5EXgn3QDEEFk0_IGnb9nI9w,aLMFGk7Ylw0,"10 minutes, 28 seconds","Your lack of progress at the gym might not be your fault. Test your hormone levels at home. Use code ADAM30, get 30% off: https://trylgc.com/adamragusea Thank you to LetsGetChecked for sponsoring...",2022-11-24 13:32:39.235962
110,"Chicken wings, bodybuilding, and the new Adam Ragusea Podcast",https://i.ytimg.com/vi/P8LC5EhqoPw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBVaZTmFG7lu0A2Y2ZBVSQEaWwxWg,P8LC5EhqoPw,"5 minutes, 59 seconds","Please (!!) subscribe to The Adam Ragusea Podcast wherever you get podcasts. It should be most places (let me know if it's not). Here are some options:

Direct RSS feed: https://feeds.megaphone.fm/...",2022-11-24 13:32:39.235962
111,Using wild onions and garlic from the lawn,https://i.ytimg.com/vi/VNScki_6CRY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDMG8JX1OGLSrY7vFmZYMA6KAvfMA,VNScki_6CRY,"10 minutes, 16 seconds","Thanks to Policygenius for sponsoring this video! To start comparing quotes and simplify insurance-buying, check out Policygenius: https://Policygenius.com/adamragusea

Most of the botanical...",2022-11-24 13:32:39.235962
112,Fresh berry soufflé with berry sauce,https://i.ytimg.com/vi/fyFppQJUUls/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA_tXjckBqGvhj9eg2LOwtUxazimA,fyFppQJUUls,"8 minutes, 50 seconds","Thanks to Helix Sleep for sponsoring this video! Click here https://helixsleep.com/ragusea for up to $200 off your Helix Sleep mattress plus two free pillows! Free shipping within the US!
...",2022-11-24 13:32:39.235962
113,Who (ethically) owns recipes? Am I stealing them?,https://i.ytimg.com/vi/SsNLzyqqINw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDIYKiXkAiNGnGd8HVUcMs7t6UCZw,SsNLzyqqINw,"15 minutes, 24 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-23 13:32:39.235962
114,"Ragusea body transformation, part I",https://i.ytimg.com/vi/39sJUtzDBrk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAgfaekGdyTz5_WqTsZFW9K0zzJUg,39sJUtzDBrk,"8 minutes, 29 seconds",Go to https://noom.com/ragusea and take your free 30-second quiz! Thank you #noom for sponsoring today’s video!,2022-11-23 13:32:39.235962
115,"Paper-thin, no-stir omelettes",https://i.ytimg.com/vi/KwnhzStEmpU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCM9CY9K4QdkVXsdLSH0Y5ALlLCwA,KwnhzStEmpU,"7 minutes, 42 seconds","Thanks to Magic Spoon for sponsoring this video! Use my code RAGUSEA to get $5 off your delicious, healthy Magic Spoon cereal by clicking this link: https://magicspoon.thld.co/ragusea_0222...",2022-11-23 13:32:39.235962
116,"Rice, beans, and the ""myth"" of protein combining",https://i.ytimg.com/vi/psAlJtgeQsY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDQEFF0FKG_JSDyQHCmqlCLTCOCbw,psAlJtgeQsY,"11 minutes, 43 seconds","Thanks to Fetch Rewards for sponsoring this video! Download Fetch now and use code RAGUSEA and get 3000 points on your first receipt! → https://fetch.thld.co/ragusea_0222

Position paper...",2022-11-23 13:32:39.235962
117,Chicken leg lollipops with sweet & sour glaze | soft polenta I chicken-roasted carrots,https://i.ytimg.com/vi/Lef_anm7UjE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBAuOyEExBA3Qgq0U7FLCcR2XHPkA,Lef_anm7UjE,"9 minutes, 31 seconds","Thanks to Future for sponsoring this video! Get your first month of personal training for $19: http://tryfuture.co/Adam

***RECIPE, FEEDS 4-6***

4-5 lb (circa 2 kg) chicken legs (smaller ones...",2022-11-23 13:32:39.235962
118,Dried mushrooms are nature's stock cube,https://i.ytimg.com/vi/JFH5Zpe0p1Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCYsrqF4fn9NEnEoxLwFx3eYhVriw,JFH5Zpe0p1Q,"10 minutes, 35 seconds","Thanks to Bespoke Post for sponsoring this video! Get 20% off your first monthly box when you sign up at http://bespokepost.com/ragusea20 and use promo code RAGUSEA20 at checkout!

2021 literature...",2022-11-23 13:32:39.235962
119,Creamy coconut chickpea curry,https://i.ytimg.com/vi/e4a7F1LyzaY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCPski1a9bd0yxhFOCUVVUl6pXGZA,e4a7F1LyzaY,"9 minutes, 35 seconds","Thanks to Ritual for sponsoring this video! Click here http://ritual.com/ADAM20 and use code ADAM20 to get 20% off your first month with Ritual. #ritualpartner

* These statements have not...",2022-11-23 13:32:39.235962
120,How cooks put their fingers in hot sauce without burning themselves,https://i.ytimg.com/vi/lpFyAu38SbY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB9OsgC-JQ_PeSDEfD6m7M83wHa_A,lpFyAu38SbY,"14 minutes, 11 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-23 13:32:39.235962
